LookupID,Geo Place Name,Year,Borough
1053,Parkchester and Soundview (CD9),2022,Bronx
1054,Morris Park and Bronxdale (CD11),2016,Bronx
1055,Morris Park and Bronxdale (CD11),2015,Bronx
1056,Kew Gardens and Woodhaven (CD9),2010,Queens
1057,Kew Gardens and Woodhaven (CD9),2011,Queens
1058,Kew Gardens and Woodhaven (CD9),2015,Queens
1059,Kew Gardens and Woodhaven (CD9),2016,Queens
1060,Bayside and Little Neck (CD11),2015,Queens
1061,Bayside and Little Neck (CD11),2016,Queens
1062,Morningside Heights and Hamilton Heights (CD9),2011,Manhattan
1063,Morningside Heights and Hamilton Heights (CD9),2010,Manhattan
